Count_of_sizes,Name_ of_colors,Product_code
13.0,White/White,CW2288-111
17.0,White/Photon Dust/Black/University Blue,FD9082-103
13.0,Anthracite/Black/Mystic Red/Summit White,FB9658-001
15.0,White/Varsity Red/Wolf Grey/Black,DZ4353-101
17.0,Light Silver/Clear/Light Silver,FB8875-002
13.0,Light Silver/Black/Deep Royal Blue/Football Grey,FB8886-001
14.0,White/Black,CT2302-100
13.0,Deep Jungle/Light Silver/Deep Jungle/White,FB8896-300
13.0,Sail/Gum Medium Brown/Pro Green,DR9865-101
9.0,Sail/Coconut Milk/White/Deep Jungle,FQ8080-133
13.0,Cargo Khaki/Medium Olive/Sequoia/White,DZ3306-300
10.0,Fireberry/Fireberry/Fierce Pink,DD8959-600
9.0,White/White/White,DX5883-100
11.0,Pink Blast/Sail/Chile Red,FB9893-600
11.0,White/Sky J Light Olive/Galactic Jade,FB2269-103
9.0,Khaki/Baroque Brown/Dark Russet/Medium Olive,FV1176-247
11.0,White/Black/Multi-Colour,FD8683-100
9.0,Pure Platinum/White/Sky J Orange,DC0774-080
11.0,Sail/Red Stardust/Coconut Milk/Cedar,DZ2628-103
11.0,White/Black/Multi-Colour,FB8251-100
13.0,Black/Black/Team Orange/White,DQ1470-002
13.0,White/Light Photo Blue/Sail/Black,DN1791-100
15.0,Sail/Pale Vanilla/Gold Suede/Deep Royal Blue,FQ8103-133
10.0,White/Photon Dust/White/Light Smoke Grey,DZ2708-102
6.0,Oil Green/Oil Green,FB2185-300
11.0,White/Light Smoke Grey/Summit White/Malachite,DX9176-106
11.0,Light Smoke Grey/Photon Dust/Midnight Navy/White,FB7720-002
11.0,White/Sail/White/Black,DC4769-102
13.0,White/White/White/Summit White,DJ9946-100
5.0,Sky J Orange/Sail,FN3722-801
11.0,Pearl Pink/Pink Oxford/Summit White,FB9881-600
13.0,White/Sail/Black/Pine Green,DA6364-115
13.0,Sail/Light Orewood Brown/White/Black,FQ8075-133
13.0,Phantom/Cargo Khaki/Dark Russet/Phantom,FB8877-001
11.0,Light Orewood Brown/Gum Light Brown/Coconut Milk/Sail,FQ8147-104
8.0,Plum Eclipse/Pink Oxford/Earth/Black,FV1166-200
10.0,Red Stardust/Cedar/Black/Deep Jungle,FB8459-600
10.0,Sail/Light Orewood Brown/Sundial/Rugged Orange,FD2370-100
12.0,White/Desert Ochre/Black,DH3162-100
12.0,White/White/White,DH9636-101
11.0,Coconut Milk/White/Vivid Sulphur,DZ2794-100
9.0,Sail/Gum Yellow/Oil Grey,432997-121
12.0,White/White/White/Black,DC7695-100
9.0,White/White/White,CI0919-100
7.0,Phantom/Pink Oxford/White/Red Stardust,DZ1847-001
11.0,Black/Multi-Colour/White/Black,FQ8143-001
7.0,White/Gym Red/Black,CD7069-116
12.0,Black/White/Field Purple,DO5047-005
12.0,White/Bright Concord/True Red/Black,DQ8426-154
9.0,White/White/White,554724-136
8.0,White/Summit White/White/Blue Tint,DH9523-105
6.0,White/Neutral Grey/Metallic Gold,DV1307-107
12.0,Black/Particle Grey/Dark Smoke Grey,DD9293-002
13.0,White/Midnight Navy/University Red,FB2207-101
14.0,Neutral Grey/Black/Dark Concord/University Red,DZ4475-026
13.0,Anthracite/Cool Grey/Industrial Blue/Pure Platinum,FV0384-001
13.0,White/Total Orange/Black,DD1399-105
12.0,White/Black,BQ6806-100
12.0,Light Orewood Brown/White/Light British Tan/Metallic Gold,DZ4129-102
5.0,Black/Black/White,FZ0627-010
11.0,Black/Anthracite/Black/Black,DV1678-003
7.0,University Red/Summit White/Black,DV1748-601
7.0,White/White/White,FD1146-100
9.0,White/Sky J Orange/Sky J Mauve/Black,FB9907-102
14.0,Flax/Gum Light Brown/Black/Wheat,CJ9179-200
13.0,Sail/Sail/Gum Light Brown/Khaki,FQ8142-133
9.0,Black/Light Bone/Magma Orange,FJ0742-081
10.0,White/Phantom/Action Grape/Black,CD4165-118
7.0,Black/Black/White,DQ9624-001
17.0,Black/Black/White,DV0788-002
7.0,Sky J Purple/Honeycomb/Sail/Shimmer,DB2889-501
12.0,Varsity Red/White/Black,DV5141-611
12.0,Racer Blue/Lime Blast/Safety Orange/White,CD4382-400
5.0,Light Army/Gum Light Brown/Khaki/Light Army,FD3365-339
2.0,White/Bright Concord/Aquamarine/Black,553558-154
13.0,Black/Anthracite/Cool Grey,FB2067-001
12.0,Black/Cardinal Red/White/Vivid Orange,FJ4923-008
10.0,Platinum Violet/Purple Ink/Fierce Pink/Luminous Green,DJ6159-002
2.0,White/Clear Jade/Light Ultramarine/Deep Jungle,DN3555-100
12.0,Metallic Silver/Photon Dust/White/Metallic Silver,FD6815-001
17.0,Phantom/Khaki/Light Orewood Brown/Medium Ash,DX9016-006
13.0,Black/Black/Black,DH2987-002
9.0,Golden Harvest/White/Black,DH7004-701
6.0,University Red/Black/Clear/White,FJ6036-600
13.0,White/White/Royal Blue,FZ0624-100
12.0,Black/Anthracite/Black,DV3853-002
9.0,Sail/Gum Light Brown/University Blue,FJ1683-100
3.0,Black/Tech Grey/White/Muslin,CZ0790-001
13.0,Light Orewood Brown/Coconut Milk/Deep Jungle/Sail,FQ8077-104
12.0,White/Light Lemon Twist/Volt/Black,DR2665-101
13.0,Sundial/Monarch/White,DV3278-700
11.0,Black/White/Fireberry/Metallic Gold,DM8974-004
16.0,Pine Green/White/White/Black,DV5477-300
6.0,Light Silver/Mica Green/Summit White,DX6865-001
9.0,Black/Anthracite/Cool Grey,FB2065-001
13.0,White/White/Black,DH3158-101
9.0,Oil Green/Olive Aura/Phantom/Oil Green,FN4190-300
13.0,Mica Green/Black/Clear Jade/White,DM0829-301
12.0,Black/Black/White/University Red,DO1925-003
11.0,University Red/Midnight Navy/Blue Joy/Sea Glass,DV7480-600
